sender,receiver,subject,session,condition,moralCondition,condition2,neighbor
Participant F,Participant G,16,2djdfaey,gunsR,outrage,gunsR_outrage,n3
Participant E,Participant F,17,2djdfaey,gunsR,outrage,gunsR_outrage,n3
Participant G,Participant H,18,2djdfaey,gunsR,outrage,gunsR_outrage,n3
Participant C,Participant D,19,2djdfaey,gunsR,outrage,gunsR_outrage,n3
Participant L,Participant A,20,2djdfaey,gunsR,outrage,gunsR_outrage,n3
Participant J,Participant K,21,2djdfaey,gunsR,outrage,gunsR_outrage,n3
Participant A,Participant B,22,2djdfaey,gunsR,outrage,gunsR_outrage,n3
Participant G,Participant H,23,34upvoji,gunsR,neutral,gunsR_neutral,n3
Participant I,Participant J,24,34upvoji,gunsR,neutral,gunsR_neutral,n3
Participant L,Participant A,25,34upvoji,gunsR,neutral,gunsR_neutral,n3
Participant A,Participant B,26,34upvoji,gunsR,neutral,gunsR_neutral,n3
Participant E,Participant F,27,34upvoji,gunsR,neutral,gunsR_neutral,n3
Participant K,Participant L,28,34upvoji,gunsR,neutral,gunsR_neutral,n3
Participant C,Participant D,29,34upvoji,gunsR,neutral,gunsR_neutral,n3
Participant F,Participant G,30,34upvoji,gunsR,neutral,gunsR_neutral,n3
Participant H,Participant I,31,34upvoji,gunsR,neutral,gunsR_neutral,n3
Participant J,Participant K,32,34upvoji,gunsR,neutral,gunsR_neutral,n3
Participant B,Participant C,33,34upvoji,gunsR,neutral,gunsR_neutral,n3
Participant E,Participant F,34,7st92i94,gunsR,outrage,gunsR_outrage,n3
Participant J,Participant K,35,7st92i94,gunsR,outrage,gunsR_outrage,n3
Participant F,Participant G,36,7st92i94,gunsR,outrage,gunsR_outrage,n3
Participant B,Participant C,37,7st92i94,gunsR,outrage,gunsR_outrage,n3
Participant K,Participant L,38,7st92i94,gunsR,outrage,gunsR_outrage,n3
Participant L,Participant A,39,7st92i94,gunsR,outrage,gunsR_outrage,n3
Participant H,Participant I,40,7st92i94,gunsR,outrage,gunsR_outrage,n3
Participant I,Participant J,41,7st92i94,gunsR,outrage,gunsR_outrage,n3
Participant A,Participant B,42,7st92i94,gunsR,outrage,gunsR_outrage,n3
Participant G,Participant H,43,7st92i94,gunsR,outrage,gunsR_outrage,n3
Participant C,Participant D,44,7st92i94,gunsR,outrage,gunsR_outrage,n3
Participant E,Participant F,45,kv9ecle8,guns,outrage,guns_outrage,n3
Participant F,Participant G,46,kv9ecle8,guns,outrage,guns_outrage,n3
Participant B,Participant C,47,kv9ecle8,guns,outrage,guns_outrage,n3
Participant A,Participant B,48,kv9ecle8,guns,outrage,guns_outrage,n3
Participant C,Participant D,49,kv9ecle8,guns,outrage,guns_outrage,n3
Participant J,Participant K,50,kv9ecle8,guns,outrage,guns_outrage,n3
Participant H,Participant I,51,kv9ecle8,guns,outrage,guns_outrage,n3
Participant I,Participant J,52,kv9ecle8,guns,outrage,guns_outrage,n3
Participant K,Participant L,53,kv9ecle8,guns,outrage,guns_outrage,n3
Participant L,Participant A,54,kv9ecle8,guns,outrage,guns_outrage,n3
Participant G,Participant H,55,kv9ecle8,guns,outrage,guns_outrage,n3
Participant A,Participant B,56,ntsj19eg,guns,neutral,guns_neutral,n3
Participant J,Participant K,57,ntsj19eg,guns,neutral,guns_neutral,n3
Participant L,Participant A,58,ntsj19eg,guns,neutral,guns_neutral,n3
Participant H,Participant I,59,ntsj19eg,guns,neutral,guns_neutral,n3
Participant B,Participant C,60,ntsj19eg,guns,neutral,guns_neutral,n3
Participant E,Participant F,61,ntsj19eg,guns,neutral,guns_neutral,n3
Participant G,Participant H,62,ntsj19eg,guns,neutral,guns_neutral,n3
Participant C,Participant D,63,ntsj19eg,guns,neutral,guns_neutral,n3
Participant I,Participant J,64,ntsj19eg,guns,neutral,guns_neutral,n3
Participant K,Participant L,65,ntsj19eg,guns,neutral,guns_neutral,n3
Participant F,Participant G,66,ntsj19eg,guns,neutral,guns_neutral,n3
